product_id,product_name,category,brand,price,discount,stock,description,image_url,rating
P057,Product 57,Category 8,Brand 3,698.5,27,171,Sample description for product 57.,/static/images/products/product.jpg,3.9
P058,Product 58,Category 9,Brand 4,709,28,174,Sample description for product 58.,/static/images/products/product.jpg,4.1
P059,Product 59,Category 10,Brand 5,719.5,29,177,Sample description for product 59.,/static/images/products/product.jpg,4.3
P060,Product 60,Category 1,Brand 1,730,0,180,Sample description for product 60.,/static/images/products/product.jpg,3.5
P061,Product 61,Category 2,Brand 2,740.5,1,183,Sample description for product 61.,/static/images/products/product.jpg,3.7
P062,Product 62,Category 3,Brand 3,751,2,186,Sample description for product 62.,/static/images/products/product.jpg,3.9
P063,Product 63,Category 4,Brand 4,761.5,3,189,Sample description for product 63.,/static/images/products/product.jpg,4.1
P064,Product 64,Category 5,Brand 5,772,4,192,Sample description for product 64.,/static/images/products/product.jpg,4.3
P065,Product 65,Category 6,Brand 1,782.5,5,195,Sample description for product 65.,/static/images/products/product.jpg,3.5
P066,Product 66,Category 7,Brand 2,793,6,198,Sample description for product 66.,/static/images/products/product.jpg,3.7
P067,Product 67,Category 8,Brand 3,803.5,7,1,Sample description for product 67.,/static/images/products/product.jpg,3.9
P068,Product 68,Category 9,Brand 4,814,8,4,Sample description for product 68.,/static/images/products/product.jpg,4.1
P069,Product 69,Category 10,Brand 5,824.5,9,7,Sample description for product 69.,/static/images/products/product.jpg,4.3
P070,Product 70,Category 1,Brand 1,835,10,10,Sample description for product 70.,/static/images/products/product.jpg,3.5
P071,Product 71,Category 2,Brand 2,845.5,11,13,Sample description for product 71.,/static/images/products/product.jpg,3.7
P072,Product 72,Category 3,Brand 3,856,12,16,Sample description for product 72.,/static/images/products/product.jpg,3.9
P073,Product 73,Category 4,Brand 4,866.5,13,19,Sample description for product 73.,/static/images/products/product.jpg,4.1
P074,Product 74,Category 5,Brand 5,877,14,22,Sample description for product 74.,/static/images/products/product.jpg,4.3
P075,Product 75,Category 6,Brand 1,887.5,15,25,Sample description for product 75.,/static/images/products/product.jpg,3.5
P076,Product 76,Category 7,Brand 2,898,16,28,Sample description for product 76.,/static/images/products/product.jpg,3.7
P077,Product 77,Category 8,Brand 3,908.5,17,31,Sample description for product 77.,/static/images/products/product.jpg,3.9
P078,Product 78,Category 9,Brand 4,919,18,34,Sample description for product 78.,/static/images/products/product.jpg,4.1
P079,Product 79,Category 10,Brand 5,929.5,19,37,Sample description for product 79.,/static/images/products/product.jpg,4.3
P080,Product 80,Category 1,Brand 1,940,20,40,Sample description for product 80.,/static/images/products/product.jpg,3.5
P081,Product 81,Category 2,Brand 2,950.5,21,43,Sample description for product 81.,/static/images/products/product.jpg,3.7
P082,Product 82,Category 3,Brand 3,961,22,46,Sample description for product 82.,/static/images/products/product.jpg,3.9
P083,Product 83,Category 4,Brand 4,971.5,23,49,Sample description for product 83.,/static/images/products/product.jpg,4.1
P084,Product 84,Category 5,Brand 5,982,24,52,Sample description for product 84.,/static/images/products/product.jpg,4.3
P085,Product 85,Category 6,Brand 1,992.5,25,55,Sample description for product 85.,/static/images/products/product.jpg,3.5
P086,Product 86,Category 7,Brand 2,1003,26,58,Sample description for product 86.,/static/images/products/product.jpg,3.7
P087,Product 87,Category 8,Brand 3,1013.5,27,61,Sample description for product 87.,/static/images/products/product.jpg,3.9
P088,Product 88,Category 9,Brand 4,1024,28,64,Sample description for product 88.,/static/images/products/product.jpg,4.1
P089,Product 89,Category 10,Brand 5,1034.5,29,67,Sample description for product 89.,/static/images/products/product.jpg,4.3
P090,Product 90,Category 1,Brand 1,1045,0,70,Sample description for product 90.,/static/images/products/product.jpg,3.5
P091,Product 91,Category 2,Brand 2,1055.5,1,73,Sample description for product 91.,/static/images/products/product.jpg,3.7
P092,Product 92,Category 3,Brand 3,1066,2,76,Sample description for product 92.,/static/images/products/product.jpg,3.9
P093,Product 93,Category 4,Brand 4,1076.5,3,79,Sample description for product 93.,/static/images/products/product.jpg,4.1
P094,Product 94,Category 5,Brand 5,1087,4,82,Sample description for product 94.,/static/images/products/product.jpg,4.3
P095,Product 95,Category 6,Brand 1,1097.5,5,85,Sample description for product 95.,/static/images/products/product.jpg,3.5
P096,Product 96,Category 7,Brand 2,1108,6,88,Sample description for product 96.,/static/images/products/product.jpg,3.7
P097,Product 97,Category 8,Brand 3,1118.5,7,91,Sample description for product 97.,/static/images/products/product.jpg,3.9
P098,Product 98,Category 9,Brand 4,1129,8,94,Sample description for product 98.,/static/images/products/product.jpg,4.1
P099,Product 99,Category 10,Brand 5,1139.5,9,97,Sample description for product 99.,/static/images/products/product.jpg,4.3
P100,Product 100,Category 1,Brand 1,1150,10,100,Sample description for product 100.,/static/images/products/product.jpg,3.5
